"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bolivia","BOL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.9","26.9","27.7","27.7","26.8","24.6","23.9","24.7","22.9","20.4","17.3","16.7","16.5","15.6","14.3","13.1","12.5","12.1","11.9","13.9","",
"Brazil","BRA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7","9.3","7.9","6.8","6.5","6.2","5.6","5.1","4.3","3.7","3.2","3","2.8","2.5","2.5","2.5","2.5","2.5","2.6","4.1","",
"Barbados","BRB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","6.2","6.7","6.2","6.1","5.3","5.3","4.9","4.5","4.3","4.2","4.4","4.4","4.4","4.3","4.4","4.3","4.1","3.7","3.4","",
"Brunei Darussalam","BRN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","19.3","18.3","17.7","17","16.2","15.2","14.2","12.8","11.4","10","9.2","8.4","8","7.4","6.8","6.2","5.8","5.8","5.9","",
"Bhutan","BTN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7","24.1","24.5","23.7","22.6","22.3","22.2","22","21.9","21.5","21","20.3","19.7","19.3","19.6","20.1","21.3","21.5","22.1","21.9","",
"Central African Republic","CAF","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2","40.1","40.6","40.5","39.6","37.7","35.7","33.3","31.9","30.3","29.6","33","40.2","47.9","49.9","48.6","46.1","46.8","49.2","52.2","",
"Canada","CAN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Central Europe and the Baltics","CEB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.02295241370008","2.92736467477378","2.88738407494429","2.87032006518168","2.82534262608677","2.84431568831216","2.79827279405521","2.76566458051043","2.72672799908588","2.73531534187608","2.77681713941049","2.74563893189801","2.70040182723741","2.72861416072182","2.73590193585795","2.73266628268417","2.63502534327451","2.59492039722738","2.59797851799387","2.60338099217809","",
"Switzerland","CHE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Channel Islands","CHI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.2","3.2","3.2","3.1","3.1","3.1","3.4","3.5","3.4","3.3","3.1","3.1","3","3.1","3.1","2.9","2.7","2.6","2.6","",
"China","CHN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","9.4","8.6","7.9","7","6.1","5","4","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Cote d'Ivoire","CIV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","21","20.6","19.3","18.3","17.6","17.9","18.2","16.3","13.6","10.9","10","9.9","9.2","8.3","6.9","6","5.2","4.7","4.4","",
"Cameroon","CMR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","20.7","19.3","17.6","15.9","14.1","12.6","11.2","8.8","7.1","5.6","5.2","5.2","5.3","5.4","5.9","6.6","6.9","6.7","6.7","",
"Congo, Dem. Rep.","COD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2","33.7","34.5","34.7","34.6","34.6","34.5","34.5","34.5","34.2","34.5","35.1","35.1","35.1","35.5","36","36.4","36.3","37.7","39.8","",
"Congo, Rep.","COG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","26.4","26.4","31.7","34","36.6","35.4","35.5","36","36.5","35.9","32.9","28.2","25.3","25.2","26.4","28.3","29.3","29.9","31.6","",
"Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","9.1","9.8","10.6","11.2","11.4","11","11.3","12.1","12.9","12.3","10.7","8.9","7.5","6.5","6","5.9","6.2","7.2","8.2","",
"Comoros","COM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","14.4","13.1","11.3","11","11.4","12.3","13.1","14.1","14.2","14.1","14.3","15.1","16.2","16.8","17","16.2","15.4","14.5","17.7","",
"Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","5","5.2","5","4.4","3.9","3.8","3.9","4.3","4.6","5","5","4.9","4.7","4.1","3.6","3.2","3.2","3.4","3.4","",
"Caribbean small states","CSS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1971498596618","8.01484368941201","8.17207042703701","8.23492897233253","8.24539294591467","8.11661758916595","8.32194956008279","8.52577657850798","8.69100037758278","8.50070069871903","8.34739332083701","8.10334040695277","8.01365640647618","7.82561173082146","8.07245790381887","7.86446695308851","7.70555234640964","7.19196136114819","6.9674041854193","6.80810530135217","",
"Cuba","CUB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Curacao","CUW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.7","6.1","6.9","7.6","7.5","6.9","6.4","4.7","3","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Czechia","CZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Germany","DEU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Djibouti","DJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","40.8","38.2","34.7","31.3","27.3","25.1","23.4","23.1","22.4","21.3","19.8","17.8","15.7","14.2","13.6","13.5","13.1","13.1","13.5","",
"Dominica","DMA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","4.1","4.7","5","5.4","5","4.6","4.1","4.5","4.8","5.2","5.4","5.5","5.3","5.3","5.4","5.7","5.7","6.5","6.9","",
"Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","22.6","23.6","23","19.2","16.4","16.2","16","15.2","13","11.1","9.8","8.8","8.2","7.4","6.8","6.2","6.1","7","6.7","",
"Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7.3","7","7","6.7","6.4","5.9","5.6","5.1","4.3","3.8","3.2","3","2.9","2.8","2.8","2.7","2.5","2.5","2.5","",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3149550357582","12.6799955252405","11.8204255249921","11.1924721318513","10.3933237243699","9.58603552790324","8.58499187524133","7.6295295013722","6.40112299574844","5.79460855723744","5.35484139054472","5.11557654343575","4.88622004427686","4.79030648855413","4.60430791734828","4.44006898994337","4.26417527614656","4.153161306554","4.13054802642642","4.15997908548144","",
